"Date","Price","Open","High","Low","Vol.","Change %"
"12/18/2025","27.610","27.550","27.610","27.550","0.10K","0.92%"
"12/17/2025","27.357","27.357","27.475","27.075","","2.22%"
"12/16/2025","26.764","26.970","27.000","26.680","1.05K","-2.41%"
"12/15/2025","27.425","27.730","27.745","27.280","0.56K","-0.94%"
"12/12/2025","27.684","27.355","27.560","27.245","0.49K","3.28%"
"12/11/2025","26.805","26.715","26.920","26.635","0.91K","0.76%"
"12/10/2025","26.602","27.015","27.090","26.550","1.41K","-3.23%"
"12/09/2025","27.489","27.400","27.530","27.340","0.42K","2.30%"
"12/08/2025","26.871","27.550","27.670","26.805","0.76K","-1.45%"
"12/05/2025","27.266","27.360","27.360","27.105","1.08K","0.66%"
"12/04/2025","27.088","27.575","27.580","27.055","1.11K","-3.96%"
"12/03/2025","28.206","27.995","28.270","27.995","1.11K","0.56%"
"12/02/2025","28.050","27.715","28.105","27.560","1.13K","-0.63%"
"12/01/2025","28.227","28.275","28.430","27.880","0.69K","-2.05%"
"11/28/2025","28.817","29.070","29.160","28.655","0.17K","-1.88%"
"11/26/2025","29.368","29.370","29.500","29.260","0.05K","-0.06%"
"11/25/2025","29.386","29.650","29.650","29.245","0.06K","-1.21%"
"11/24/2025","29.747","30.025","30.025","29.300","0.09K","-1.49%"
"11/21/2025","30.198","30.620","30.700","30.485","2.21K","-3.08%"
"11/20/2025","31.159","31.035","31.195","30.890","2.59K","0.71%"
"11/19/2025","30.940","31.155","31.185","30.675","1.96K","-2.38%"
"11/18/2025","31.694","31.740","31.950","31.490","2.16K","0.88%"
"11/17/2025","31.418","31.475","31.600","31.230","2.88K","0.54%"
"11/14/2025","31.250","30.745","31.080","30.590","1.11K","2.60%"
"11/13/2025","30.458","31.010","31.010","30.375","5.16K","-1.54%"
"11/12/2025","30.933","31.365","31.365","30.800","7.75K","-0.54%"
"11/11/2025","31.102","31.040","31.180","30.885","1.33K","0.10%"
"11/10/2025","31.071","31.300","31.465","30.840","9.39K","-0.42%"
"11/07/2025","31.201","31.490","31.505","31.145","5.59K","-1.10%"
"11/06/2025","31.548","31.445","31.725","31.445","3.55K","-0.85%"
"11/05/2025","31.819","32.100","32.120","31.695","2.28K","-2.25%"
"11/04/2025","32.551","31.940","32.495","31.930","8.19K","2.55%"
