Date,price
2021-01-04,19.26
2021-01-05,19.93
2021-01-06,18.05
2021-01-07,17.6
2021-01-08,19.63
2021-01-09,19.63
2021-01-10,19.63
2021-01-11,20.35
2021-01-12,22.65
2021-01-13,26.67
2021-01-14,22.0
2021-01-15,21.55
2021-01-16,21.55
2021-01-17,21.55
2021-01-18,20.42
2021-01-19,19.21
2021-01-20,20.24
2021-01-21,20.01
2021-01-22,19.94
2021-01-23,19.94
2021-01-24,19.94
2021-01-25,21.62
2021-01-26,20.33
2021-01-27,19.52
2021-01-28,19.66
2021-01-29,20.83
2021-01-30,20.83
2021-01-31,20.83
2021-02-01,20.32
2021-02-02,18.15
2021-02-03,18.17
2021-02-04,18.0
2021-02-05,18.22
2021-02-06,18.22
2021-02-07,18.22
2021-02-08,18.44
2021-02-09,20.72
2021-02-10,19.81
2021-02-11,19.27
2021-02-12,17.98
2021-02-13,17.98
2021-02-14,17.98
2021-02-15,17.7
2021-02-16,16.52
2021-02-17,16.64
2021-02-18,16.43
2021-02-19,17.01
2021-02-20,17.01
2021-02-21,17.01
2021-02-22,16.47
2021-02-23,15.83
2021-02-24,15.96
2021-02-25,16.21
2021-02-26,15.9
2021-02-27,15.9
2021-02-28,15.9
2021-03-01,15.84
2021-03-02,16.38
2021-03-03,16.11
2021-03-04,15.93
2021-03-05,16.38
2021-03-06,16.38
2021-03-07,16.38
2021-03-08,16.8
2021-03-09,16.65
2021-03-10,17.26
2021-03-11,17.86
2021-03-12,18.1
2021-03-13,18.1
2021-03-14,18.1
2021-03-15,18.57
2021-03-16,18.41
2021-03-17,17.95
2021-03-18,18.53
2021-03-19,17.91
2021-03-20,17.91
2021-03-21,17.91
2021-03-22,17.72
2021-03-23,18.54
2021-03-24,18.62
2021-03-25,18.69
2021-03-26,18.19
2021-03-27,18.19
2021-03-28,18.19
2021-03-29,18.5
2021-03-30,18.36
2021-03-31,18.74
2021-04-01,19.16
2021-04-02,19.16
2021-04-03,19.16
2021-04-04,19.16
2021-04-05,19.16
2021-04-06,19.13
2021-04-07,20.36
2021-04-08,19.95
2021-04-09,19.56
2021-04-10,19.56
2021-04-11,19.56
2021-04-12,19.46
2021-04-13,20.63
2021-04-14,20.32
2021-04-15,20.41
2021-04-16,20.69
2021-04-17,20.69
2021-04-18,20.69
2021-04-19,20.86
2021-04-20,21.47
2021-04-21,21.45
2021-04-22,21.43
2021-04-23,21.69
2021-04-24,21.69
2021-04-25,21.69
2021-04-26,20.16
2021-04-27,20.46
2021-04-28,21.75
2021-04-29,21.79
2021-04-30,22.86
2021-05-01,22.86
2021-05-02,22.86
2021-05-03,22.86
2021-05-04,23.58
2021-05-05,23.84
2021-05-06,24.77
2021-05-07,24.95
2021-05-08,24.95
2021-05-09,24.95
2021-05-10,24.1
2021-05-11,25.44
2021-05-12,26.02
2021-05-13,26.29
2021-05-14,26.28
2021-05-15,26.28
2021-05-16,26.28
2021-05-17,27.28
2021-05-18,26.86
2021-05-19,25.32
2021-05-20,23.03
2021-05-21,24.71
2021-05-22,24.71
2021-05-23,24.71
2021-05-24,24.71
2021-05-25,24.74
2021-05-26,26.29
2021-05-27,26.72
2021-05-28,25.26
2021-05-29,25.26
2021-05-30,25.26
2021-05-31,25.26
2021-06-01,25.29
2021-06-02,26.1
2021-06-03,25.47
2021-06-04,25.78
2021-06-05,25.78
2021-06-06,25.78
2021-06-07,25.9
2021-06-08,26.66
2021-06-09,28.36
